roll_deg,pitch_deg,yaw_deg,s,conditionNumber,maxQError_deg,status,errorMessage
-25,5,-20,0.349086385100418,1.53127748334074,1.27222187258541e-14,SAFE,
-25,5,-15,0.27022789617552,1.93662618629169,6.36110936292703e-15,SAFE,
-25,5,-10,0.192384806849597,2.69978132381603,1.90833280887811e-14,SAFE,
-25,5,-5,0.122315671950931,4.21891226907624,1.19270800554882e-14,SAFE,
-25,5,0,0.0868164787721133,5.79756853036546,7.95138670365879e-15,SAFE,
-25,5,5,0.122315885643109,4.23340376695232,1.19270800554882e-14,SAFE,
-25,5,10,0.192385002646181,2.70394547430715,9.54166404439055e-15,SAFE,
-25,5,15,0.270226599783333,1.92553530633096,6.36110936292703e-15,SAFE,
-25,5,20,0.349078672039274,1.50016169421585,1.59027734073176e-14,SAFE,
-25,5,25,0.426178592219155,1.25587057444528,6.36110936292703e-15,SAFE,
-25,5,30,0.488445818191092,1.14578851817971,1.27222187258541e-14,SAFE,
-25,10,-30,0.482757419427131,1.30739122346354,7.95138670365879e-15,SAFE,
-25,10,-25,0.435544197861626,1.36814614306947,1.27222187258541e-14,SAFE,
-25,10,-20,0.368277188254379,1.54540113457838,6.36110936292703e-15,SAFE,
-25,10,-15,0.300382665093654,1.83611030589975,1.27222187258541e-14,SAFE,
-25,10,-10,0.237989891282946,2.26641004806601,1.74930507480493e-14,SAFE,
-25,10,-5,0.189940745735958,2.77144328997104,9.54166404439055e-15,SAFE,
-25,10,0,0.170766248484774,3.01027877148534,1.27222187258541e-14,SAFE,
-25,10,5,0.189951345531363,2.7931068278987,1.11319413851223e-14,SAFE,
-25,10,10,0.237996678360077,2.27320434545008,2.22638827702446e-14,SAFE,
-25,10,15,0.30033364288286,1.81248213669905,9.54166404439055e-15,SAFE,
-25,10,20,0.368006610292165,1.48720933239546,9.54166404439055e-15,SAFE,
-25,10,25,0.43402492059072,1.27822471291822,1.27222187258541e-14,SAFE,
-25,10,30,0.475201029308143,1.20135377646331,9.54166404439055e-15,SAFE,
-25,15,-30,0.480179239434319,1.41425575009616,6.36110936292703e-15,SAFE,
-25,15,-25,0.447267353406246,1.43557074344739,9.54166404439055e-15,SAFE,
-25,15,-20,0.394396332580702,1.54688848520124,6.36110936292703e-15,SAFE,
-25,15,-15,0.340114357766774,1.71680245102143,6.36110936292703e-15,SAFE,
-25,15,-10,0.293075972108869,1.91772271655785,9.54166404439055e-15,SAFE,
-25,15,-5,0.26017065305876,2.08642211743623,1.27222187258541e-14,SAFE,
-25,15,0,0.24818926155571,2.15408198375991,6.36110936292703e-15,SAFE,
-25,15,5,0.260274805923213,2.11155299473834,9.54166404439055e-15,SAFE,
-25,15,10,0.293119788677982,1.92410281967463,2.22638827702446e-14,SAFE,
-25,15,15,0.339663202933226,1.68016565115594,6.36110936292703e-15,SAFE,
-25,15,20,0.392191077575657,1.4643476685634,9.54166404439055e-15,SAFE,
-25,15,25,0.438186743617788,1.32410767693024,1.27222187258541e-14,SAFE,
-25,15,30,0.462901690874716,1.27981715308168,9.54166404439055e-15,SAFE,
-25,20,-30,0.481569327057019,1.53067837507746,9.54166404439055e-15,SAFE,
-25,20,-25,0.458822103434921,1.5213501174987,6.36110936292703e-15,SAFE,
-25,20,-20,0.421294004668524,1.56824014487565,6.36110936292703e-15,SAFE,
-25,20,-15,0.380201084326632,1.647763281974,6.36110936292703e-15,SAFE,
-25,20,-10,0.34537146033947,1.72759719835524,3.18055468146352e-15,SAFE,
-25,20,-5,0.322312653262976,1.78241479401259,1.27222187258541e-14,SAFE,
-25,20,0,0.314436167352169,1.80964314545774,6.36110936292703e-15,SAFE,
-25,20,5,0.322740320268119,1.80417738826684,1.90833280887811e-14,SAFE,
-25,20,10,0.345417403059952,1.72927116553265,2.22638827702446e-14,SAFE,
-25,20,15,0.37811333273601,1.59978002882254,1.27222187258541e-14,SAFE,
-25,20,20,0.413019393520407,1.47115419018363,6.36110936292703e-15,SAFE,
-25,20,25,0.437953866736105,1.39578138908219,6.36110936292703e-15,SAFE,
-25,20,30,0.453517183105478,1.367823579684,9.54166404439055e-15,SAFE,
-25,25,-30,0.485887113331874,1.66037452259048,1.27222187258541e-14,SAFE,
-25,25,-25,0.469560859748658,1.63138312286157,6.36110936292703e-15,SAFE,
-25,25,-20,0.444659467002472,1.6296611830623,6.36110936292703e-15,SAFE,
-25,25,-15,0.414896311069003,1.65049587733604,6.36110936292703e-15,SAFE,
-25,25,-10,0.388650876133016,1.67232705897711,1.59027734073176e-14,SAFE,
-25,25,-5,0.371499226149014,1.68530170204611,6.36110936292703e-15,SAFE,
-25,25,0,0.366026803742704,1.69530803460317,6.36110936292703e-15,SAFE,
-25,25,5,0.372284511191115,1.69761149759309,3.18055468146352e-15,SAFE,
-25,25,10,0.388142220289773,1.66568359848999,1.27222187258541e-14,SAFE,
-25,25,15,0.409167058450911,1.59605837162174,9.54166404439055e-15,SAFE,
-25,25,20,0.427569354768163,1.52549324678347,9.54166404439055e-15,SAFE,
-25,25,25,0.43830148340708,1.485500130863,6.36110936292703e-15,SAFE,
-25,25,30,0.447424312965665,1.46482694397896,6.36110936292703e-15,SAFE,
-25,30,-30,0.49205130515937,1.80886584749657,6.36110936292703e-15,SAFE,
-25,30,-25,0.479529959353542,1.76897288022697,9.54166404439055e-15,SAFE,
-25,30,-20,0.463166226610058,1.73599226022781,6.36110936292703e-15,SAFE,
